threshold,human_accuracy,ai_accuracy,hybrid_accuracy,complementarity_rate,override_gain,deferral_rate
0.0,0.68,0.7066666666666667,0.8966666666666666,0.4066666666666667,0.19,0.0
0.05,0.68,0.7066666666666667,0.8966666666666666,0.4066666666666667,0.19,0.0
0.1,0.68,0.7066666666666667,0.8966666666666666,0.4066666666666667,0.19,0.004166666666666667
0.15,0.68,0.7066666666666667,0.895,0.4066666666666667,0.19,0.01
0.2,0.68,0.7066666666666667,0.8866666666666667,0.4066666666666667,0.19,0.035
0.3,0.68,0.7066666666666667,0.8341666666666666,0.4066666666666667,0.19,0.15916666666666668
